source_file	organism_name
mammalian.txt	Callospermophilus lateralis
mammalian.txt	Mustela nigripes
mammalian.txt	Diceros bicornis minor
mammalian.txt	Microtus ochrogaster
mammalian.txt	Hylobates moloch
mammalian.txt	Pseudorca crassidens
mammalian.txt	Equus quagga
mammalian.txt	Rhinolophus sinicus
mammalian.txt	Bubalus bubalis
mammalian.txt	Phyllostomus discolor
mammalian.txt	Macrotis lagotis
mammalian.txt	Marmota flaviventris
mammalian.txt	Dipodomys merriami
mammalian.txt	Tenrec ecaudatus
mammalian.txt	Hyaena hyaena
mammalian.txt	Myotis daubentonii
mammalian.txt	Elephas maximus indicus
mammalian.txt	Alexandromys fortis
mammalian.txt	Dipodomys spectabilis
mammalian.txt	Suncus etruscus
mammalian.txt	Myotis brandtii
mammalian.txt	Phodopus roborovskii
mammalian.txt	Cynocephalus volans
mammalian.txt	Microtus oregoni
mammalian.txt	Lipotes vexillifer
mammalian.txt	Trichechus manatus latirostris
mammalian.txt	Ochotona curzoniae
mammalian.txt	Pteropus vampyrus
mammalian.txt	Pteropus vampyrus
mammalian.txt	Canis lupus baileyi
mammalian.txt	Manis pentadactyla
mammalian.txt	Condylura cristata
mammalian.txt	Myotis yumanensis
mammalian.txt	Chrysochloris asiatica
mammalian.txt	Hipposideros armiger
mammalian.txt	Gracilinanus agilis
mammalian.txt	Sturnira hondurensis
mammalian.txt	Perognathus longimembris pacificus
mammalian.txt	Myotis davidii
mammalian.txt	Peromyscus maniculatus bairdii
mammalian.txt	Tupaia chinensis
mammalian.txt	Saccopteryx leptura
mammalian.txt	Macaca thibetana thibetana
mammalian.txt	Chionomys nivalis
mammalian.txt	Canis lupus dingo
mammalian.txt	Miniopterus natalensis
mammalian.txt	Colobus angolensis palliatus
mammalian.txt	Propithecus coquereli
mammalian.txt	Enhydra lutris kenyoni
mammalian.txt	Camelus ferus
mammalian.txt	Myodes glareolus
mammalian.txt	Neogale vison
mammalian.txt	Galeopterus variegatus
mammalian.txt	Grammomys surdaster
mammalian.txt	Vulpes lagopus
mammalian.txt	Peromyscus californicus insignis
mammalian.txt	Hippopotamus amphibius kiboko
mammalian.txt	Piliocolobus tephrosceles
mammalian.txt	Eulemur rufifrons
mammalian.txt	Fukomys damarensis
mammalian.txt	Nannospalax galili
mammalian.txt	Arvicola amphibius
mammalian.txt	Orycteropus afer afer
mammalian.txt	Cervus canadensis
mammalian.txt	Herpailurus yagouaroundi
mammalian.txt	Neophocaena asiaeorientalis asiaeorientalis
mammalian.txt	Carlito syrichta
mammalian.txt	Pteronotus mesoamericanus
mammalian.txt	Cebus imitator
mammalian.txt	Balaenoptera ricei
mammalian.txt	Petaurus breviceps papuanus
mammalian.txt	Bubalus kerabau
mammalian.txt	Sagmatias obliquidens
protozoa.txt	Cryptomonas paramaecium
protozoa.txt	Bremia lactucae
protozoa.txt	Plasmopara halstedii
protozoa.txt	Phytophthora cinnamomi
protozoa.txt	Leishmania donovani
protozoa.txt	Leishmania enriettii
protozoa.txt	Leishmania panamensis
protozoa.txt	Trypanosoma cruzi
protozoa.txt	Trypanosoma equiperdum
protozoa.txt	Trypanosoma rangeli
protozoa.txt	Giardia duodenalis
protozoa.txt	Naegleria gruberi
protozoa.txt	Naegleria fowleri
protozoa.txt	Dictyostelium purpureum
protozoa.txt	Eimeria acervulina
protozoa.txt	Eimeria tenella
protozoa.txt	Eimeria maxima
protozoa.txt	Plasmodium berghei ANKA
protozoa.txt	Plasmodium brasilianum
protozoa.txt	Plasmodium gallinaceum
protozoa.txt	Plasmodium knowlesi strain H
protozoa.txt	Plasmodium reichenowi
protozoa.txt	Plasmodium vivax
protozoa.txt	Plasmodium fragile
protozoa.txt	Plasmodium malariae
protozoa.txt	Plasmodium yoelii
protozoa.txt	Babesia bigemina
protozoa.txt	Babesia caballi
protozoa.txt	Theileria annulata
protozoa.txt	Paramecium tetraurelia
protozoa.txt	Ichthyophthirius multifiliis
protozoa.txt	Blastocystis hominis
protozoa.txt	Plasmodium chabaudi chabaudi
protozoa.txt	Plasmodium falciparum 3D7
protozoa.txt	Aureococcus anophagefferens
protozoa.txt	Eimeria mitis
protozoa.txt	Eimeria necatrix
protozoa.txt	Naegleria lovaniensis
protozoa.txt	Plasmodium vinckei vinckei
protozoa.txt	Guillardia theta
protozoa.txt	Trypanosoma theileri
protozoa.txt	Phytophthora sojae
protozoa.txt	Trypanosoma grayi
protozoa.txt	Plasmodium gonderi
protozoa.txt	Trypanosoma conorhini
protozoa.txt	Plasmodium relictum
protozoa.txt	Cyclospora cayetanensis
protozoa.txt	Besnoitia besnoiti
protozoa.txt	Gregarina niphandrodes
protozoa.txt	Aphanomyces astaci
protozoa.txt	Cryptosporidium andersoni
protozoa.txt	Histomonas meleagridis
protozoa.txt	Aphanomyces invadans
protozoa.txt	Leptomonas pyrrhocoris
protozoa.txt	Phytophthora ramorum
protozoa.txt	Trypanosoma brucei brucei TREU927
protozoa.txt	Babesia ovata
protozoa.txt	Plasmodium coatneyi
protozoa.txt	Bigelowiella natans
